 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79
1,12206,12206,15,15,20219,20219,13078,13078,13175,13175,62545,62545,41700,41700,34416,34416,12005,12005,39289,39289,4843,4843,17224,17224,107363,107363,2612,2612,10522,10522,84748,84748,14373,14373,23302,23302,23785,23785,28136,28136,31669,31669,18303,18303,83793,83793,71448,71448,10011,10011,67920,67920,31720,31720,7563,7563,25070,25070,28113,28113,15028,15028,18561,18561,43644,43644,22071,22071,14238,14238,43338,43338,37974,37974,11883,11883,30839,30839,14374,14374,21209,21209,89723,89723,16896,16896,8882,8882,43278,43278,7046,7046,5325,5325,47403,47403,31605,31605,11228,11228,7109,7109,20424,20424,41007,41007,97076,97076,21509,21509,21216,21216,11938,11938,48561,48561,14401,14401,6239,6239,72062,72062,15412,15412,9465,9465,17893,17893,81831,81831,1315,1315,14069,14069,19180,19180,3802,3802,8386,8386,56140,56140,14946,14946,65253,65253,30810,30810,13509,13509,18815,18815,16984,16984,19202,19202,15075,15075
2,12059,12059,15,15,20055,20055,13746,13746,13250,13250,63684,63684,41751,41751,33614,33614,12274,12274,38888,38888,4895,4895,16368,16368,104817,104817,2693,2693,10529,10529,78282,78282,14543,14543,22528,22528,23721,23721,27841,27841,31468,31468,17791,17791,82559,82559,69012,69012,9689,9689,64742,64742,30687,30687,7089,7089,23820,23820,27242,27242,14697,14697,17555,17555,42513,42513,21947,21947,13907,13907,44796,44796,33759,33759,11994,11994,29997,29997,14196,14196,21669,21669,95035,95035,17022,17022,8538,8538,33058,33058,7331,7331,5583,5583,39707,39707,31325,31325,11355,11355,6798,6798,20057,20057,39922,39922,54127,54127,21629,21629,19910,19910,11390,11390,49127,49127,13990,13990,6135,6135,61711,61711,14878,14878,9590,9590,17378,17378,54233,54233,1204,1204,13530,13530,18321,18321,3819,3819,8244,8244,52553,52553,12832,12832,63263,63263,29822,29822,13268,13268,18729,18729,16659,16659,18554,18554,14761,14761
3,12186,12186,15,15,19702,19702,13355,13355,12960,12960,65296,65296,41346,41346,33800,33800,11900,11900,37747,37747,4458,4458,15789,15789,102423,102423,2596,2596,10962,10962,71289,71289,14783,14783,22300,22300,23593,23593,26979,26979,30946,30946,17920,17920,82626,82626,70851,70851,9413,9413,62914,62914,29522,29522,7391,7391,22344,22344,27025,27025,14610,14610,15262,15262,42140,42140,22337,22337,13415,13415,44095,44095,30558,30558,11942,11942,29742,29742,13179,13179,20980,20980,99152,99152,16541,16541,8190,8190,26410,26410,7251,7251,5460,5460,35061,35061,30986,30986,11125,11125,7371,7371,19630,19630,39101,39101,48236,48236,21966,21966,19302,19302,11401,11401,49320,49320,13833,13833,5971,5971,64197,64197,14507,14507,9518,9518,17259,17259,48918,48918,1432,1432,13807,13807,18171,18171,4202,4202,7966,7966,48196,48196,11308,11308,60935,60935,28947,28947,12844,12844,17904,17904,16152,16152,19280,19280,14224,14224
4,12066,12066,18,18,20039,20039,13231,13231,12714,12714,68199,68199,40514,40514,34413,34413,11714,11714,36728,36728,4762,4762,14235,14235,98813,98813,2755,2755,10875,10875,61877,61877,14337,14337,21690,21690,23129,23129,27237,27237,30023,30023,18029,18029,80452,80452,57429,57429,9595,9595,62684,62684,28374,28374,7048,7048,21533,21533,26085,26085,14286,14286,14349,14349,41924,41924,21627,21627,13826,13826,45185,45185,28952,28952,11434,11434,29502,29502,13694,13694,20439,20439,102521,102521,16302,16302,8199,8199,26000,26000,7217,7217,5384,5384,32992,32992,30396,30396,10944,10944,12583,12583,19757,19757,38797,38797,46888,46888,22004,22004,18690,18690,11652,11652,49552,49552,13833,13833,5981,5981,71197,71197,14211,14211,9500,9500,17268,17268,48193,48193,1254,1254,13977,13977,17971,17971,4038,4038,8253,8253,45841,45841,11302,11302,58018,58018,28165,28165,12898,12898,18158,18158,15683,15683,17692,17692,14174,14174
5,11896,11896,23,23,19391,19391,13053,13053,12546,12546,73822,73822,41132,41132,34962,34962,11980,11980,37422,37422,4755,4755,13592,13592,95867,95867,2578,2578,11011,11011,53583,53583,14206,14206,20534,20534,23329,23329,26960,26960,29805,29805,18176,18176,76130,76130,43854,43854,9720,9720,61740,61740,26588,26588,7010,7010,21375,21375,26784,26784,14487,14487,14302,14302,42005,42005,22191,22191,13752,13752,45610,45610,25984,25984,11494,11494,29339,29339,13713,13713,20954,20954,106943,106943,15932,15932,8332,8332,26934,26934,7414,7414,5318,5318,38065,38065,30377,30377,10923,10923,13044,13044,19384,19384,39047,39047,46065,46065,20427,20427,18829,18829,12175,12175,53037,53037,13959,13959,5727,5727,71868,71868,14286,14286,9591,9591,17111,17111,47957,47957,1330,1330,13906,13906,17559,17559,4376,4376,7905,7905,45779,45779,10877,10877,56996,56996,27383,27383,12723,12723,17857,17857,15806,15806,17422,17422,13712,13712
6,12269,12269,19,19,19792,19792,13611,13611,13104,13104,78992,78992,40499,40499,35783,35783,12297,12297,37377,37377,4663,4663,12992,12992,93282,93282,2593,2593,11260,11260,46923,46923,13990,13990,20348,20348,23040,23040,27452,27452,29424,29424,18146,18146,74539,74539,36129,36129,9904,9904,60787,60787,26271,26271,7155,7155,21044,21044,25963,25963,13993,13993,13271,13271,42466,42466,21683,21683,13287,13287,46072,46072,24420,24420,11335,11335,29138,29138,13844,13844,20901,20901,110652,110652,16160,16160,8141,8141,28385,28385,7225,7225,5348,5348,50386,50386,31075,31075,10907,10907,12371,12371,19960,19960,38766,38766,45945,45945,20374,20374,18296,18296,11892,11892,53878,53878,13324,13324,5932,5932,74897,74897,14259,14259,9427,9427,17359,17359,47714,47714,1429,1429,13833,13833,17574,17574,4548,4548,7991,7991,44823,44823,10689,10689,56309,56309,27497,27497,12646,12646,17134,17134,15337,15337,17671,17671,14016,14016
7,12279,12279,22,22,20410,20410,13903,13903,12790,12790,82019,82019,41519,41519,36495,36495,12342,12342,38028,38028,4868,4868,11799,11799,91288,91288,2756,2756,11264,11264,40938,40938,14607,14607,20001,20001,23598,23598,27287,27287,29327,29327,17856,17856,73274,73274,32854,32854,13406,13406,60828,60828,25352,25352,6814,6814,20394,20394,25590,25590,14357,14357,13062,13062,42296,42296,21596,21596,14218,14218,48021,48021,24241,24241,11163,11163,29545,29545,13502,13502,20818,20818,115407,115407,16427,16427,8110,8110,32916,32916,7119,7119,5262,5262,54339,54339,29866,29866,10865,10865,12504,12504,20208,20208,38482,38482,45886,45886,20700,20700,18621,18621,11743,11743,56683,56683,13843,13843,6148,6148,75882,75882,13750,13750,9432,9432,17535,17535,47919,47919,1440,1440,13794,13794,17314,17314,4415,4415,8033,8033,44332,44332,10591,10591,54943,54943,26498,26498,12881,12881,17191,17191,15383,15383,17193,17193,14199,14199
8,12361,12361,16,16,20634,20634,13633,13633,13142,13142,85761,85761,42385,42385,38409,38409,11952,11952,37475,37475,4862,4862,11824,11824,88891,88891,2815,2815,11108,11108,36547,36547,14520,14520,19544,19544,22691,22691,27616,27616,28945,28945,17654,17654,71489,71489,31429,31429,16839,16839,60601,60601,25161,25161,6707,6707,20344,20344,25436,25436,14056,14056,12864,12864,41923,41923,21943,21943,13465,13465,47126,47126,22992,22992,11165,11165,28949,28949,13728,13728,21098,21098,117301,117301,16514,16514,8426,8426,41651,41651,7403,7403,5080,5080,54809,54809,30843,30843,11243,11243,13864,13864,20519,20519,39667,39667,45517,45517,20626,20626,18580,18580,12122,12122,58762,58762,13630,13630,6087,6087,76329,76329,14395,14395,9615,9615,17249,17249,47420,47420,1399,1399,13785,13785,17097,17097,4699,4699,8091,8091,44302,44302,10937,10937,54683,54683,26398,26398,12637,12637,16803,16803,15346,15346,17520,17520,13901,13901
9,12686,12686,20,20,20060,20060,13924,13924,13189,13189,89016,89016,43309,43309,39940,39940,12624,12624,38135,38135,4806,4806,10540,10540,87494,87494,2666,2666,11464,11464,31915,31915,14054,14054,19621,19621,23521,23521,27235,27235,28343,28343,17569,17569,69979,69979,32407,32407,15402,15402,61078,61078,24656,24656,7237,7237,20243,20243,25448,25448,14184,14184,13229,13229,42171,42171,22673,22673,14118,14118,48081,48081,23580,23580,10882,10882,28957,28957,13910,13910,21440,21440,119951,119951,16298,16298,8464,8464,45245,45245,7682,7682,5365,5365,54698,54698,30483,30483,10856,10856,14925,14925,21333,21333,38669,38669,52813,52813,23488,23488,17986,17986,12244,12244,60194,60194,13614,13614,5790,5790,76709,76709,14233,14233,9822,9822,17035,17035,47886,47886,1418,1418,13550,13550,17196,17196,4672,4672,7750,7750,43394,43394,10788,10788,54094,54094,25903,25903,12680,12680,16605,16605,15857,15857,17446,17446,14235,14235
10,12723,12723,13,13,20634,20634,13635,13635,12825,12825,90972,90972,44077,44077,39700,39700,12901,12901,38718,38718,4941,4941,10191,10191,85025,85025,2641,2641,10586,10586,27925,27925,13922,13922,18952,18952,22939,22939,28246,28246,29085,29085,17848,17848,68056,68056,32675,32675,14976,14976,60172,60172,24768,24768,6872,6872,20252,20252,25611,25611,14004,14004,13374,13374,42328,42328,22293,22293,13924,13924,48964,48964,22522,22522,11041,11041,28837,28837,13488,13488,20837,20837,123200,123200,16205,16205,8576,8576,48610,48610,7383,7383,5187,5187,56071,56071,30495,30495,11138,11138,15360,15360,21524,21524,39005,39005,104184,104184,35453,35453,17950,17950,12386,12386,60711,60711,13572,13572,5796,5796,79150,79150,14030,14030,9910,9910,16612,16612,54984,54984,1365,1365,13861,13861,17391,17391,4753,4753,8350,8350,42905,42905,10308,10308,54807,54807,26138,26138,12368,12368,16866,16866,16348,16348,17123,17123,13765,13765
11,12894,12894,9,9,20395,20395,12919,12919,12753,12753,89395,89395,44238,44238,39716,39716,12101,12101,36441,36441,5068,5068,9517,9517,78584,78584,2657,2657,10393,10393,23754,23754,14274,14274,17662,17662,25161,25161,25759,25759,27256,27256,19071,19071,65199,65199,32252,32252,14341,14341,59318,59318,23140,23140,6462,6462,19396,19396,25119,25119,14517,14517,12961,12961,44788,44788,21992,21992,14060,14060,48224,48224,21551,21551,10161,10161,27757,27757,13515,13515,22087,22087,118644,118644,16640,16640,8833,8833,44859,44859,7014,7014,5308,5308,51505,51505,29660,29660,11057,11057,15305,15305,20207,20207,36048,36048,94142,94142,30782,30782,17386,17386,12683,12683,62749,62749,13170,13170,5731,5731,73774,73774,14080,14080,9448,9448,16451,16451,75666,75666,1335,1335,12961,12961,17908,17908,4679,4679,8767,8767,43672,43672,10743,10743,54646,54646,27247,27247,12503,12503,16249,16249,17849,17849,17234,17234,14387,14387
12,12911,12911,15,15,21949,21949,13785,13785,13716,13716,95984,95984,49094,49094,44272,44272,13154,13154,39724,39724,5012,5012,9818,9818,81073,81073,2868,2868,10820,10820,25667,25667,14510,14510,18853,18853,25101,25101,28441,28441,28312,28312,19837,19837,68521,68521,38590,38590,16499,16499,62688,62688,24598,24598,7059,7059,20741,20741,26032,26032,15321,15321,13825,13825,46389,46389,22788,22788,14276,14276,51260,51260,22053,22053,10692,10692,29317,29317,14194,14194,22546,22546,127771,127771,17232,17232,9079,9079,46997,46997,7259,7259,5192,5192,54067,54067,32212,32212,11890,11890,17030,17030,22517,22517,38645,38645,82962,82962,28372,28372,17918,17918,13753,13753,64369,64369,14147,14147,6092,6092,80680,80680,14266,14266,9873,9873,16896,16896,108547,108547,1524,1524,13759,13759,19558,19558,5134,5134,9534,9534,45070,45070,10515,10515,57063,57063,28744,28744,13012,13012,17608,17608,18370,18370,18014,18014,15090,15090
13,12451,12451,33,33,21851,21851,14193,14193,13625,13625,99929,99929,52047,52047,44988,44988,13859,13859,42003,42003,4843,4843,9456,9456,77231,77231,2892,2892,10391,10391,27035,27035,14123,14123,18795,18795,25167,25167,28306,28306,28414,28414,18836,18836,66584,66584,38856,38856,17220,17220,62409,62409,25096,25096,6850,6850,20565,20565,26374,26374,15284,15284,13571,13571,45606,45606,22853,22853,13964,13964,50891,50891,22170,22170,11070,11070,28822,28822,14564,14564,22513,22513,129528,129528,17323,17323,9244,9244,47741,47741,7444,7444,5061,5061,54847,54847,31970,31970,11562,11562,17421,17421,23880,23880,38839,38839,74114,74114,26508,26508,18146,18146,13960,13960,62919,62919,14231,14231,5928,5928,82887,82887,14669,14669,10180,10180,17837,17837,95141,95141,1588,1588,13693,13693,18823,18823,5160,5160,9024,9024,45174,45174,11208,11208,57162,57162,28565,28565,13244,13244,17478,17478,19075,19075,17832,17832,14876,14876
14,12557,12557,10,10,21231,21231,13935,13935,13600,13600,100848,100848,52603,52603,45826,45826,13166,13166,41683,41683,4950,4950,10621,10621,76171,76171,2819,2819,10475,10475,29805,29805,14811,14811,18435,18435,24753,24753,28280,28280,28642,28642,18384,18384,64123,64123,40004,40004,18540,18540,61794,61794,24870,24870,7249,7249,20534,20534,26262,26262,15314,15314,13701,13701,46503,46503,23311,23311,14505,14505,50741,50741,22437,22437,11299,11299,29391,29391,13816,13816,22996,22996,130388,130388,17155,17155,9494,9494,48910,48910,7447,7447,5319,5319,56798,56798,31506,31506,11585,11585,17598,17598,25419,25419,39656,39656,69274,69274,26033,26033,18000,18000,13978,13978,61364,61364,14677,14677,6140,6140,84625,84625,15028,15028,10002,10002,16958,16958,77827,77827,1508,1508,13916,13916,18899,18899,5045,5045,9460,9460,44218,44218,11217,11217,59305,59305,29033,29033,13158,13158,17215,17215,18779,18779,18476,18476,14799,14799
