 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42,IntDen43,RawIntDen43,IntDen44,RawIntDen44,IntDen45,RawIntDen45,IntDen46,RawIntDen46,IntDen47,RawIntDen47,IntDen48,RawIntDen48,IntDen49,RawIntDen49,IntDen50,RawIntDen50,IntDen51,RawIntDen51,IntDen52,RawIntDen52,IntDen53,RawIntDen53,IntDen54,RawIntDen54,IntDen55,RawIntDen55,IntDen56,RawIntDen56,IntDen57,RawIntDen57,IntDen58,RawIntDen58,IntDen59,RawIntDen59,IntDen60,RawIntDen60,IntDen61,RawIntDen61,IntDen62,RawIntDen62,IntDen63,RawIntDen63,IntDen64,RawIntDen64,IntDen65,RawIntDen65,IntDen66,RawIntDen66,IntDen67,RawIntDen67,IntDen68,RawIntDen68,IntDen69,RawIntDen69,IntDen70,RawIntDen70,IntDen71,RawIntDen71,IntDen72,RawIntDen72,IntDen73,RawIntDen73,IntDen74,RawIntDen74,IntDen75,RawIntDen75,IntDen76,RawIntDen76,IntDen77,RawIntDen77,IntDen78,RawIntDen78,IntDen79,RawIntDen79,IntDen80,RawIntDen80,IntDen81,RawIntDen81,IntDen82,RawIntDen82,IntDen83,RawIntDen83,IntDen84,RawIntDen84,IntDen85,RawIntDen85,IntDen86,RawIntDen86,IntDen87,RawIntDen87,IntDen88,RawIntDen88,IntDen89,RawIntDen89,IntDen90,RawIntDen90
1,57832,57832,38323,38323,134691,134691,37386,37386,122955,122955,38665,38665,21735,21735,21235,21235,10777,10777,23558,23558,36975,36975,26952,26952,22724,22724,12308,12308,67059,67059,9602,9602,26484,26484,19820,19820,18379,18379,18865,18865,23126,23126,28981,28981,51293,51293,23227,23227,25159,25159,31768,31768,20529,20529,102211,102211,33960,33960,27218,27218,41710,41710,55671,55671,84514,84514,11598,11598,11747,11747,20328,20328,105539,105539,77943,77943,31388,31388,11175,11175,30678,30678,9582,9582,9931,9931,164546,164546,63416,63416,73667,73667,22570,22570,28329,28329,34044,34044,22495,22495,163926,163926,50608,50608,18452,18452,71712,71712,35408,35408,93401,93401,17065,17065,82632,82632,60160,60160,20998,20998,85962,85962,46701,46701,66525,66525,141127,141127,25530,25530,102949,102949,36708,36708,21624,21624,80014,80014,35002,35002,86439,86439,72336,72336,20860,20860,24326,24326,25363,25363,66296,66296,62536,62536,198215,198215,104830,104830,94380,94380,72712,72712,19917,19917,126538,126538,24787,24787,76445,76445,100860,100860,127720,127720,45627,45627,24320,24320,184668,184668
2,60527,60527,34232,34232,136319,136319,35989,35989,123487,123487,37900,37900,21031,21031,20596,20596,10716,10716,22748,22748,37184,37184,24915,24915,22255,22255,12146,12146,60416,60416,9978,9978,24457,24457,20531,20531,17912,17912,18229,18229,23050,23050,26650,26650,45161,45161,22714,22714,26648,26648,29003,29003,20880,20880,101169,101169,34000,34000,27529,27529,42872,42872,56507,56507,83645,83645,10836,10836,11620,11620,21436,21436,104340,104340,80628,80628,30549,30549,11674,11674,30855,30855,9356,9356,10311,10311,178772,178772,57304,57304,73731,73731,14503,14503,31872,31872,41901,41901,21584,21584,169249,169249,45238,45238,18582,18582,62424,62424,30922,30922,85655,85655,16294,16294,77649,77649,56557,56557,20691,20691,88955,88955,41844,41844,58427,58427,130211,130211,23633,23633,92655,92655,33779,33779,21790,21790,73095,73095,34240,34240,81931,81931,69958,69958,21246,21246,24101,24101,23382,23382,61872,61872,63639,63639,174860,174860,95907,95907,92052,92052,66106,66106,20763,20763,125587,125587,24412,24412,67069,67069,92610,92610,119078,119078,39150,39150,21876,21876,175527,175527
3,62181,62181,32377,32377,135900,135900,34765,34765,127516,127516,36986,36986,20976,20976,20664,20664,11004,11004,22014,22014,36432,36432,23371,23371,22062,22062,12425,12425,54554,54554,10693,10693,24162,24162,20175,20175,18016,18016,18153,18153,22772,22772,24812,24812,40018,40018,22509,22509,26906,26906,26217,26217,22164,22164,94372,94372,34087,34087,28344,28344,42285,42285,56135,56135,80860,80860,10165,10165,11223,11223,21661,21661,103684,103684,78274,78274,27658,27658,11490,11490,32777,32777,9638,9638,10648,10648,191189,191189,52162,52162,71211,71211,12134,12134,34941,34941,50924,50924,19274,19274,174168,174168,41786,41786,18096,18096,54574,54574,27196,27196,81845,81845,16519,16519,72957,72957,54493,54493,20901,20901,91504,91504,38797,38797,56094,56094,123683,123683,22813,22813,85673,85673,30789,30789,21045,21045,66467,66467,34242,34242,78922,78922,68745,68745,20966,20966,24366,24366,21919,21919,57986,57986,65320,65320,161141,161141,88534,88534,90261,90261,60013,60013,20625,20625,126852,126852,23895,23895,58536,58536,84161,84161,112656,112656,34300,34300,20435,20435,172580,172580
4,62078,62078,30225,30225,135498,135498,34068,34068,126936,126936,37536,37536,20771,20771,20085,20085,10946,10946,21066,21066,36305,36305,21840,21840,21983,21983,12768,12768,51237,51237,10315,10315,22384,22384,20986,20986,17956,17956,17997,17997,23160,23160,23515,23515,35847,35847,22936,22936,28020,28020,22824,22824,23372,23372,95050,95050,33657,33657,28271,28271,41827,41827,54701,54701,80647,80647,9105,9105,11419,11419,23035,23035,105755,105755,73018,73018,26411,26411,11707,11707,33730,33730,9767,9767,10782,10782,204477,204477,49538,49538,71426,71426,11802,11802,37074,37074,59541,59541,17948,17948,181329,181329,38764,38764,17565,17565,49847,49847,24527,24527,77769,77769,16666,16666,71200,71200,53527,53527,20713,20713,90511,90511,35348,35348,51730,51730,117117,117117,22559,22559,77668,77668,29495,29495,20860,20860,60949,60949,33966,33966,73797,73797,67317,67317,20847,20847,24253,24253,21412,21412,54573,54573,66067,66067,141393,141393,79189,79189,90949,90949,52374,52374,20399,20399,127654,127654,22671,22671,54295,54295,75043,75043,104117,104117,30732,30732,19580,19580,167949,167949
5,63676,63676,28632,28632,133319,133319,32457,32457,127178,127178,36666,36666,20953,20953,19993,19993,10922,10922,20981,20981,36469,36469,21124,21124,21857,21857,13374,13374,48332,48332,10737,10737,22066,22066,21338,21338,18309,18309,18076,18076,23006,23006,23555,23555,33732,33732,22930,22930,29099,29099,19499,19499,25556,25556,92645,92645,34563,34563,28134,28134,40887,40887,53373,53373,80007,80007,8828,8828,11265,11265,24607,24607,106597,106597,73018,73018,26263,26263,11804,11804,34897,34897,10069,10069,10337,10337,218177,218177,45023,45023,73158,73158,11386,11386,40891,40891,67359,67359,16799,16799,187485,187485,35951,35951,17349,17349,46084,46084,22919,22919,74047,74047,15985,15985,69095,69095,52629,52629,20177,20177,89837,89837,33639,33639,48412,48412,110858,110858,22677,22677,71787,71787,27661,27661,20318,20318,56059,56059,35148,35148,70111,70111,66401,66401,21621,21621,24257,24257,20512,20512,50883,50883,66175,66175,134511,134511,74582,74582,91501,91501,44828,44828,20572,20572,127186,127186,21889,21889,48530,48530,64896,64896,93946,93946,27646,27646,17573,17573,163529,163529
6,64874,64874,26334,26334,133731,133731,31872,31872,129057,129057,37299,37299,20853,20853,20124,20124,11036,11036,20664,20664,36070,36070,20726,20726,21767,21767,13270,13270,45275,45275,10768,10768,22084,22084,21396,21396,17355,17355,17677,17677,23111,23111,22701,22701,31159,31159,22458,22458,30226,30226,16745,16745,26332,26332,87502,87502,33675,33675,28534,28534,41760,41760,53530,53530,77718,77718,8493,8493,11678,11678,25212,25212,105858,105858,71375,71375,25421,25421,11699,11699,36130,36130,10418,10418,10905,10905,232152,232152,43320,43320,73678,73678,11319,11319,42687,42687,75189,75189,15997,15997,193208,193208,33974,33974,16830,16830,42056,42056,21580,21580,70033,70033,16223,16223,67454,67454,51007,51007,19941,19941,91707,91707,32292,32292,46192,46192,107536,107536,21897,21897,66612,66612,26318,26318,20184,20184,52313,52313,36097,36097,66193,66193,65742,65742,22331,22331,24034,24034,19961,19961,47953,47953,68064,68064,123727,123727,67085,67085,90249,90249,38805,38805,21333,21333,128847,128847,19960,19960,42671,42671,52823,52823,73970,73970,23213,23213,17080,17080,148924,148924
7,64322,64322,25207,25207,128984,128984,30461,30461,127096,127096,36897,36897,20376,20376,19784,19784,11372,11372,20138,20138,36054,36054,19825,19825,20879,20879,13632,13632,41967,41967,11286,11286,20928,20928,21644,21644,16804,16804,17042,17042,22664,22664,22052,22052,29560,29560,21451,21451,30054,30054,14555,14555,26595,26595,85171,85171,33211,33211,27912,27912,41150,41150,52438,52438,76674,76674,8241,8241,11498,11498,26387,26387,105555,105555,69952,69952,23977,23977,12946,12946,35809,35809,10335,10335,10294,10294,237689,237689,40240,40240,72867,72867,11189,11189,42951,42951,82938,82938,14233,14233,200040,200040,32709,32709,16912,16912,39263,39263,19488,19488,66514,66514,15734,15734,64423,64423,49838,49838,20130,20130,91066,91066,29414,29414,43002,43002,103165,103165,21583,21583,62985,62985,24704,24704,19915,19915,48852,48852,36302,36302,62507,62507,64191,64191,22497,22497,24090,24090,20228,20228,44724,44724,70189,70189,112627,112627,61414,61414,90937,90937,33949,33949,20734,20734,125748,125748,19594,19594,41471,41471,46779,46779,77090,77090,23026,23026,16708,16708,147199,147199
8,65772,65772,24169,24169,129523,129523,29598,29598,128949,128949,36216,36216,20940,20940,19623,19623,11134,11134,20136,20136,36160,36160,18917,18917,20990,20990,13983,13983,40012,40012,11190,11190,20780,20780,22208,22208,16802,16802,17442,17442,22216,22216,21201,21201,27327,27327,20762,20762,30084,30084,13052,13052,27559,27559,79184,79184,32645,32645,27739,27739,40538,40538,48672,48672,72903,72903,8180,8180,12051,12051,26949,26949,101981,101981,66581,66581,22870,22870,13367,13367,38219,38219,10158,10158,10914,10914,241653,241653,39179,39179,72584,72584,10725,10725,43818,43818,87958,87958,13359,13359,202425,202425,30683,30683,16068,16068,35966,35966,17954,17954,64784,64784,16276,16276,63720,63720,50133,50133,20427,20427,88190,88190,27570,27570,41099,41099,100075,100075,20901,20901,58706,58706,24538,24538,20225,20225,47043,47043,37255,37255,58912,58912,61966,61966,24043,24043,24199,24199,19819,19819,43834,43834,71240,71240,103078,103078,55204,55204,89690,89690,29100,29100,22143,22143,120821,120821,18670,18670,38394,38394,39411,39411,70195,70195,20879,20879,16903,16903,138227,138227
9,65942,65942,23800,23800,125459,125459,29271,29271,130778,130778,35386,35386,20869,20869,19830,19830,10925,10925,18633,18633,35636,35636,18511,18511,20424,20424,14487,14487,39016,39016,11310,11310,19934,19934,22675,22675,16534,16534,16881,16881,22239,22239,20101,20101,26033,26033,20039,20039,31186,31186,12285,12285,28800,28800,75873,75873,32495,32495,27226,27226,41340,41340,47067,47067,70052,70052,8231,8231,11703,11703,27768,27768,101296,101296,63899,63899,21040,21040,13703,13703,38226,38226,10664,10664,10903,10903,243013,243013,37091,37091,71648,71648,10468,10468,43770,43770,90128,90128,12893,12893,205512,205512,29423,29423,15934,15934,34251,34251,17578,17578,62300,62300,16079,16079,60759,60759,48924,48924,20248,20248,86071,86071,26562,26562,38232,38232,97293,97293,20239,20239,55347,55347,22775,22775,20042,20042,43841,43841,38871,38871,56444,56444,60006,60006,24052,24052,24681,24681,18689,18689,40594,40594,74204,74204,95953,95953,51209,51209,88341,88341,26542,26542,22766,22766,115236,115236,17303,17303,35504,35504,31594,31594,62053,62053,19079,19079,15897,15897,124591,124591
10,63829,63829,22685,22685,121107,121107,28609,28609,131439,131439,35806,35806,20864,20864,19791,19791,11175,11175,18927,18927,35764,35764,18234,18234,19768,19768,14604,14604,37961,37961,11576,11576,19344,19344,23308,23308,16139,16139,16654,16654,21927,21927,19352,19352,24696,24696,19791,19791,32077,32077,11558,11558,28932,28932,73272,73272,31677,31677,26794,26794,40622,40622,45146,45146,67172,67172,8298,8298,11643,11643,29044,29044,100677,100677,62972,62972,20435,20435,14107,14107,38594,38594,10400,10400,10805,10805,244483,244483,35375,35375,72234,72234,9834,9834,44733,44733,92975,92975,12090,12090,206495,206495,28194,28194,15557,15557,32677,32677,16519,16519,59201,59201,15692,15692,59742,59742,47369,47369,19758,19758,81761,81761,25095,25095,37267,37267,94766,94766,19564,19564,52105,52105,22159,22159,20331,20331,41597,41597,40014,40014,54035,54035,59634,59634,23940,23940,24085,24085,19456,19456,38270,38270,75453,75453,90061,90061,47518,47518,86561,86561,23997,23997,22538,22538,110535,110535,16232,16232,31725,31725,25119,25119,57519,57519,17383,17383,15052,15052,120436,120436
11,66321,66321,21982,21982,116485,116485,26188,26188,124973,124973,33834,33834,24283,24283,20912,20912,10923,10923,18153,18153,33939,33939,17352,17352,18647,18647,17266,17266,35111,35111,11810,11810,16660,16660,22272,22272,14719,14719,15839,15839,20406,20406,16890,16890,22328,22328,18880,18880,32404,32404,10824,10824,33104,33104,65745,65745,29037,29037,24918,24918,36732,36732,42046,42046,63740,63740,7879,7879,10650,10650,31608,31608,94956,94956,58023,58023,19363,19363,13152,13152,36322,36322,12068,12068,9092,9092,258860,258860,32004,32004,73993,73993,8723,8723,43251,43251,90634,90634,10640,10640,204385,204385,24494,24494,14408,14408,28923,28923,14637,14637,53320,53320,17606,17606,55055,55055,43586,43586,21526,21526,75131,75131,22722,22722,34056,34056,86828,86828,18310,18310,46090,46090,20632,20632,22040,22040,36980,36980,52309,52309,48455,48455,54971,54971,31496,31496,27784,27784,17816,17816,34842,34842,95419,95419,80655,80655,40755,40755,79976,79976,20381,20381,26002,26002,98805,98805,13935,13935,27870,27870,21610,21610,49701,49701,15165,15165,15011,15011,103548,103548
12,67116,67116,18631,18631,116011,116011,23481,23481,123033,123033,31626,31626,24090,24090,19817,19817,11391,11391,17202,17202,32784,32784,16093,16093,17845,17845,17778,17778,31007,31007,11819,11819,13766,13766,22947,22947,13676,13676,14920,14920,19235,19235,15830,15830,20090,20090,17033,17033,33392,33392,9818,9818,32299,32299,56672,56672,26341,26341,23528,23528,33353,33353,38422,38422,55169,55169,7633,7633,9392,9392,32529,32529,93499,93499,53828,53828,17932,17932,11667,11667,38285,38285,12220,12220,8685,8685,247532,247532,28250,28250,75214,75214,8445,8445,44359,44359,88187,88187,9439,9439,206329,206329,21769,21769,13748,13748,25746,25746,12653,12653,48714,48714,18197,18197,47483,47483,39488,39488,22226,22226,57595,57595,20344,20344,29352,29352,79106,79106,17386,17386,40009,40009,17405,17405,21992,21992,30463,30463,52331,52331,40231,40231,52109,52109,31884,31884,26515,26515,17331,17331,31693,31693,95214,95214,68500,68500,35083,35083,75421,75421,18016,18016,26373,26373,80641,80641,11727,11727,22927,22927,11092,11092,38917,38917,14145,14145,12425,12425,74087,74087
13,64201,64201,18830,18830,108619,108619,23056,23056,125096,125096,31669,31669,23689,23689,19377,19377,11060,11060,16919,16919,32021,32021,15737,15737,17189,17189,17379,17379,31293,31293,11226,11226,12900,12900,22632,22632,13344,13344,14802,14802,19547,19547,14758,14758,19179,19179,17085,17085,32913,32913,9796,9796,31830,31830,53428,53428,26279,26279,23197,23197,32564,32564,35883,35883,52895,52895,7367,7367,9047,9047,32461,32461,89568,89568,52089,52089,17217,17217,12308,12308,38179,38179,12353,12353,8531,8531,232173,232173,27237,27237,73401,73401,8283,8283,44915,44915,83117,83117,9451,9451,205793,205793,20196,20196,13615,13615,24932,24932,12249,12249,47046,47046,17518,17518,47749,47749,38261,38261,21479,21479,55069,55069,20090,20090,28789,28789,77085,77085,32328,32328,39593,39593,16689,16689,21840,21840,29882,29882,52382,52382,40275,40275,53096,53096,33441,33441,26404,26404,16919,16919,30427,30427,95418,95418,67297,67297,32183,32183,72330,72330,16953,16953,26805,26805,78281,78281,11095,11095,22715,22715,9167,9167,37303,37303,13354,13354,11856,11856,71623,71623
